Computational Materials Dataset — 5000 Entries  |  Perovskites · Double Perovskites · Halides · Hydrides · Heuslers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material_ID,Formula,Material_Type,SG_num,Crystal_System,a_Ang,b_Ang,c_Ang,V0_Ang3,N_atoms,M_avg_amu,chi_avg,r_avg_Ang,VEC,Var_M,Tm_K,XC_functional,Ecut_eV,kpoints,Etot_eVatom,Ecoh_eVatom,B0_GPa,B0prime,NE_Fermi,Eg_eV,q_Bader,omega_D_THz,ZPE_eVatom,FC_max_eVA2,omega_ac_THz,gamma_Gruneisen,theta_D_K,alpha_1e-5K,Cv_JmolK,Cp_JmolK,S_JmolK,Fvib_eVatom,BT_GPa,Fph_eVatom,DOI number
MAT-00010,NdHfN3,Perovskite,31,Orthorhombic,4.1977,4.3171,5.9403,107.649,5,77.1539,2.2878,1.5339,4.8093,1148.9146,1548.3681,HSE06,520,6x6x4,-5.4807,5.7049,165.1764,4.8617,4.0937,0,-0.5534,19.1583,0.2078,12.8959,0.9992,2.405,917.68,4.8121,84.2198,85.8404,45.8969,-0.0329,161.8317,-0.289,10.1000/SciData.2024.PER00010
MAT-00011,PbMoSe3,Perovskite,209,Cubic,3.7922,3.7922,3.7922,54.535,5,48.0843,1.5275,1.1277,3.5239,322.7784,1982.2876,LDA,600,8x8x8,-8.8201,3.5272,158.7261,6.125,12.8414,3.0632,-1.3261,6.1745,0.0745,23.7041,4.7842,1.9239,295.76,1.953,43.6253,46.2917,38.3009,-0.0583,154.2457,-0.0393,10.1000/JPhysChemC.2024.PER00011
MAT-00012,PbGeN3,Perovskite,36,Orthorhombic,3.7595,4.3592,12.1044,198.372,5,108.5699,2.5426,1.4897,4.9274,1991.6916,1069.1044,HSE06,600,6x6x4,-6.8578,5.6454,187.2136,4.8884,6.0838,0,1.0583,8.1287,0.0521,40.8408,3.6267,1.4279,389.36,11.3416,42.9753,44.68,88.3035,-0.1011,185.1824,-0.0299,10.1000/JChemPhys.2024.PER00012
MAT-00013,BaFeS3,Perovskite,230,Cubic,4.2498,4.2498,4.2498,76.755,5,73.6637,1.9269,1.3677,5.5457,1700.9509,2408.7837,SCAN,650,10x10x10,-9.1184,4.9094,206.5835,4.1072,10.5746,2.3973,1.9429,5.0384,0.1613,12.1322,5.9429,1.0281,241.34,28.1102,22.3667,27.1652,164.1592,-0.1278,209.4097,-0.0899,10.1000/ChemMater.2024.PER00013
MAT-00014,CsCoS3,Perovskite,227,Cubic,4.2676,4.2676,4.2676,77.723,5,57.7368,2.2671,1.1475,4.8485,593.97,1929.9012,PBE,800,4x4x4,-6.7737,5.0835,173.197,5.8977,7.6362,2.5759,0.8984,23.4184,0.0475,13.7828,1.1578,2.5762,1121.74,12.8489,79.6889,83.0779,80.0548,-0.0395,175.8223,-0.2945,10.1000/JAlloyComp.2024.PER00014
MAT-00015,NdHfTe3,Perovskite,20,Orthorhombic,3.9185,3.883,5.25,79.882,5,50.3448,2.717,1.319,4.15,1878.2771,1905.9861,PBE+U,600,12x12x12,-7.2063,2.7582,236.0603,6.4599,10.9075,4.2126,2.3048,4.725,0.2156,52.7805,1.4144,2.3883,226.33,20.7398,11.1072,13.4334,168.5719,-0.2143,235.6458,-0.2275,10.1000/npjComputMater.2024.PER00015
MAT-00016,LiSnO3,Perovskite,62,Orthorhombic,3.8812,4.4266,10.9879,188.778,5,47.7412,2.7961,1.5396,3.8517,2124.8621,1012.8391,PBE+U,800,8x8x8,-5.3432,4.4008,279.8209,3.7713,13.507,0,-1.384,7.539,0.0529,63.2576,1.9865,3.2587,361.12,19.8599,13.2546,13.3812,29.2984,-0.1243,282.8357,-0.307,10.1000/JMaterSci.2024.PER00016
MAT-00017,SrFeTe3,Perovskite,224,Cubic,4.2096,4.2096,4.2096,74.597,5,44.0062,2.5413,1.5639,5.3163,1805.6778,2475.9604,SCAN,700,8x8x8,-9.9822,1.2495,88.0303,5.0136,11.3052,0,1.02,21.576,0.0557,60.0966,1.9478,1.531,1033.49,21.4422,98.2184,101.315,29.8101,-0.1213,83.4538,-0.0552,10.1000/SciData.2024.PER00017
MAT-00018,EuHfN3,Perovskite,214,Cubic,4.1257,4.1257,4.1257,70.225,5,52.1189,1.6192,1.1918,5.9401,1254.6895,2368.1619,PBE+U,650,6x6x6,-10.5487,6.1761,194.4826,4.404,8.8812,2.8638,1.2991,16.9324,0.2363,16.1329,4.3126,1.8909,811.06,14.488,20.7296,21.4867,70.0536,-0.2116,193.7616,-0.1617,10.1000/JAlloyComp.2024.PER00018
MAT-00019,NaRuS3,Perovskite,65,Orthorhombic,4.0808,3.9706,7.5608,122.509,5,55.234,2.2648,1.2585,3.1082,1162.3201,1748.2654,PBE,650,8x8x8,-6.3423,4.712,194.4916,5.4438,9.9603,1.0152,-0.2351,20.1109,0.1463,37.3564,5.1951,1.7738,963.31,15.6258,76.3035,80.7469,185.7903,-0.1539,194.6944,-0.0881,10.1000/JChemPhys.2024.PER00019
MAT-00020,CaZrSe3,Perovskite,105,Tetragonal,3.8887,4.3536,8.3461,141.298,5,48.11,1.5937,1.521,3.1667,845.4063,1468.2601,PBE+U,400,4x4x4,-8.8611,4.9562,114.5989,3.544,12.494,0,1.9262,10.562,0.0553,50.063,1.3975,1.7853,505.92,28.7737,99.5918,103.4751,75.9731,-0.1006,116.653,-0.2487,10.1000/JChemPhys.2024.PER00020
MAT-00021,GdZrN3,Perovskite,203,Cubic,4.0845,4.0845,4.0845,68.142,5,40.7509,1.7718,1.3625,3.4913,581.5858,2472.6086,PBE+U,500,8x8x8,-3.6093,6.4419,191.1939,3.9248,6.9996,4.4511,0.0703,3.8411,0.1937,37.5334,4.02,1.2068,183.99,5.8373,91.6393,91.9581,61.9134,-0.2153,191.0959,-0.1713,10.1000/SciData.2024.PER00021
MAT-00022,GdNbTe3,Perovskite,229,Cubic,3.996,3.996,3.996,63.808,5,45.8881,1.8168,1.5218,4.9128,1693.0428,2140.4065,SCAN,500,6x6x4,-8.3339,3.7372,91.6217,4.5154,12.7449,3.4331,0.4303,19.6784,0.216,42.8594,7.3216,2.3852,942.6,25.5831,40.6532,43.1974,115.654,-0.2696,90.6072,-0.0422,10.1000/npjComputMater.2024.PER00022
MAT-00023,CsMoSe3,Perovskite,141,Tetragonal,4.0785,3.7598,6.9175,106.075,5,53.4122,1.5323,1.5637,4.3446,907.3307,1996.9544,PBEsol,500,4x4x4,-4.9697,4.3026,135.6044,6.4454,9.4952,0.0329,0.41,19.5129,0.2278,59.0522,7.7241,2.9114,934.67,26.0706,20.2694,23.9582,99.216,-0.1396,137.1454,-0.0218,10.1000/JMaterSci.2024.PER00023
MAT-00024,CaNbN3,Perovskite,209,Cubic,4.2907,4.2907,4.2907,78.992,5,60.176,2.4539,1.475,4.0395,484.9005,881.8939,SCAN,700,4x4x4,-7.103,6.4132,235.4686,4.8949,14.6798,0,0.1463,20.2547,0.0395,46.6596,6.5154,3.2967,970.2,24.7662,13.3274,15.2536,28.7657,-0.2683,237.2217,-0.1218,10.1000/ComputMaterSci.2024.PER00024
MAT-00025,SrGeO3,Perovskite,84,Tetragonal,4.1642,4.3789,10.6028,193.338,5,96.061,1.5637,1.2173,4.8657,2173.6882,809.0002,LDA,700,10x10x10,-11.7039,2.9081,215.4575,6.1869,10.2384,2.3158,-0.5494,21.614,0.1,69.0009,2.7421,2.3939,1035.31,12.2097,34.7343,39.1784,53.7669,-0.2754,213.8768,-0.1201,10.1000/ComputMaterSci.2024.PER00025
MAT-00026,LiHfN3,Perovskite,46,Orthorhombic,4.1845,4.4989,6.5265,122.866,5,68.5559,1.6779,1.3874,5.9927,1812.0263,1990.4257,HSE06,800,10x10x10,-2.847,3.4815,158.4738,3.9031,5.798,0,-1.2313,6.6455,0.0241,38.996,5.2591,1.7269,318.32,12.9013,96.3288,100.1134,117.3542,-0.2175,162.4438,-0.3083,10.1000/ComputMaterSci.2024.PER00026
MAT-00027,SrZrTe3,Perovskite,129,Tetragonal,3.8952,4.4182,8.6718,149.24,5,91.9623,2.268,1.4267,3.8981,755.1557,1444.9847,SCAN,400,6x6x4,-9.1675,3.8689,254.8629,5.8759,11.8654,0.6995,0.2535,12.9539,0.2488,55.5948,6.6098,3.2369,620.49,23.7339,26.6661,29.5207,38.3409,-0.1107,259.4164,-0.2,10.1000/JPhysChemC.2024.PER00027
MAT-00028,CaNiSe3,Perovskite,210,Cubic,3.9598,3.9598,3.9598,62.09,5,42.509,2.7477,1.1515,3.1232,765.9532,931.0609,PBE+U,600,6x6x6,-6.8391,2.3754,171.0236,3.6529,2.1182,0,0.038,3.3922,0.1806,20.5265,2.7655,1.8641,162.49,12.79,10.1495,10.7986,175.2976,-0.2996,171.1053,-0.2091,10.1000/ActaMater.2024.PER00028
MAT-00029,BaFeTe3,Perovskite,199,Cubic,3.8999,3.8999,3.8999,59.314,5,70.1929,2.5148,1.5206,3.781,941.728,1284.9657,PBE+U,400,4x4x4,-9.7175,2.4844,216.6517,6.2912,1.2043,2.1594,0.3431,18.3658,0.0546,8.5531,1.5365,3.2808,879.72,0.7732,26.949,27.2023,39.9133,-0.1202,214.0681,-0.178,10.1000/SciData.2024.PER00029
MAT-00030,GdTiO3,Perovskite,205,Cubic,4.0541,4.0541,4.0541,66.632,5,99.4605,1.5062,1.5267,4.8574,574.31,2345.8748,HSE06,500,8x8x4,-2.8121,3.2267,130.8527,5.3103,14.7774,3.8497,-0.0539,20.7027,0.0932,64.941,5.0055,1.3842,991.66,12.7138,38.5872,39.0699,25.3703,-0.1995,126.043,-0.3355,10.1000/ActaMater.2024.PER00030
MAT-00031,PrTiS3,Perovskite,75,Tetragonal,4.1351,4.2373,10.5949,185.64,5,62.2007,2.657,1.3969,3.3781,530.5529,2186.1909,LDA,800,8x8x4,-2.0823,0.524,181.4585,3.5497,14.8997,0.7782,0.8386,4.9189,0.2264,71.0285,4.5215,2.4788,235.62,8.559,14.5468,17.5602,73.0559,-0.1075,184.821,-0.3929,10.1000/JChemPhys.2024.PER00031
MAT-00032,KNiN3,Perovskite,61,Orthorhombic,4.0574,3.8082,11.8398,182.941,5,57.7565,2.294,1.3768,4.1885,1758.5278,2251.5393,PBEsol,520,6x6x6,-2.1658,3.0156,231.6844,5.0437,0.6808,2.5512,1.6841,13.9653,0.1138,12.0554,7.1724,1.8665,668.94,20.6362,23.4437,28.2553,52.1195,-0.2421,235.2742,-0.0441,10.1000/PhysRevB.2024.PER00032
MAT-00033,LaWN3,Perovskite,215,Cubic,3.8273,3.8273,3.8273,56.063,5,72.8861,2.4535,1.5392,4.1372,1389.1448,2283.4328,PBE+U,600,12x12x12,-4.1704,3.9196,226.2272,3.8138,13.6076,0,1.9623,20.3562,0.043,20.3298,6.077,0.8625,975.06,29.3871,43.943,47.5676,179.7628,-0.1856,224.4185,-0.1626,10.1000/SciData.2024.PER00033
MAT-00034,BaTiN3,Perovskite,206,Cubic,4.0486,4.0486,4.0486,66.361,5,68.6398,2.2823,1.5677,4.4029,652.507,1554.412,PBE,700,8x8x4,-10.6889,1.4772,158.8214,5.5537,5.4224,0,2.3196,7.6027,0.0428,61.5128,7.1078,1.5509,364.17,6.4616,26.719,29.3769,104.315,-0.2248,154.2731,-0.2122,10.1000/ComputMaterSci.2024.PER00034
MAT-00035,CsZrN3,Perovskite,197,Cubic,4.2756,4.2756,4.2756,78.161,5,85.6763,2.1442,1.1553,3.7573,877.9801,2329.6071,HSE06,700,12x12x12,-2.1543,6.3942,260.3284,6.359,1.5414,3.9452,-0.9488,9.0027,0.1472,12.2733,6.8435,2.4652,431.23,16.4997,24.878,26.219,48.8562,-0.0529,261.1707,-0.1133,10.1000/ChemMater.2024.PER00035
MAT-00036,LiCoSe3,Perovskite,215,Cubic,3.8776,3.8776,3.8776,58.303,5,65.9877,2.0263,1.48,5.3171,675.6711,2683.0777,HSE06,500,6x6x4,-3.0388,1.1024,104.1311,4.2936,12.7739,0,-0.782,11.5121,0.1235,23.3944,5.8268,3.0986,551.43,26.3,40.539,43.2402,64.7132,-0.229,100.7436,-0.0334,10.1000/npjComputMater.2024.PER00036
MAT-00037,RbCoO3,Perovskite,224,Cubic,4.2328,4.2328,4.2328,75.837,5,94.4151,2.173,1.3453,4.5892,1434.1064,1669.1262,PBE+U,400,4x4x4,-2.4775,3.3922,105.1328,6.3596,2.8719,0.5929,0.7177,6.7775,0.0782,7.2541,1.3921,3.2755,324.64,9.9852,64.7316,67.1102,92.0812,-0.1458,102.0052,-0.0144,10.1000/SciData.2024.PER00037
MAT-00038,PbVSe3,Perovskite,217,Cubic,4.191,4.191,4.191,73.613,5,91.913,2.1094,1.1764,5.762,985.1903,900.2134,PBEsol,520,8x8x8,-5.7729,5.005,238.8914,5.8809,3.5733,1.5408,2.1951,12.0738,0.167,5.1732,7.9503,1.5584,578.34,2.3309,51.2436,51.9758,47.4188,-0.1166,237.8207,-0.0405,10.1000/JAlloyComp.2024.PER00038
MAT-00039,RbSnN3,Perovskite,35,Orthorhombic,3.8915,4.2536,8.0421,133.12,5,86.1966,2.2796,1.3364,5.8502,988.2414,1154.471,SCAN,650,4x4x4,-11.5975,3.1978,249.2015,6.1775,11.3695,3.0514,2.4672,14.2225,0.1718,27.686,7.6065,1.7891,681.26,22.2861,46.2826,49.1355,149.5609,-0.1524,253.2724,-0.2365,10.1000/SciData.2024.PER00039
MAT-00040,KGeO3,Perovskite,211,Cubic,4.0882,4.0882,4.0882,68.328,5,63.9654,2.0306,1.32,3.3774,410.9645,2134.9798,PBE,700,12x12x12,-5.3709,0.6186,211.1035,4.4796,3.3682,0,1.6126,21.7945,0.0767,55.0887,1.4702,1.5429,1043.96,4.5903,35.5169,38.9231,183.8588,-0.2413,211.5243,-0.1265,10.1000/JAlloyComp.2024.PER00040
MAT-00041,KFeN3,Perovskite,216,Cubic,4.2718,4.2718,4.2718,77.953,5,82.7042,1.8316,1.4127,3.9615,2445.0953,1599.3523,SCAN,800,8x8x8,-11.7677,2.9004,217.0855,6.1253,9.3483,0,0.2758,23.5266,0.2164,29.1662,4.5841,2.1225,1126.92,19.15,40.07,41.3666,184.2809,-0.0321,220.5187,-0.0185,10.1000/SciData.2024.PER00041
MAT-00042,RbFeO3,Perovskite,222,Cubic,4.147,4.147,4.147,71.318,5,93.5267,2.4914,1.3403,4.3694,752.5204,2089.6384,PBE,400,8x8x8,-6.1404,2.9599,131.5617,4.1566,12.3328,1.3019,1.9423,5.8571,0.0217,30.2097,6.4813,3.0658,280.56,4.5807,79.6902,80.3572,90.2113,-0.0104,128.4876,-0.34,10.1000/JAlloyComp.2024.PER00042
MAT-00043,NdFeS3,Perovskite,44,Orthorhombic,3.9537,4.1577,12.3827,203.551,5,108.6575,1.5905,1.169,5.3722,822.454,2569.6981,HSE06,650,4x4x4,-3.6747,1.5581,102.369,4.7705,8.5067,2.9855,0.5031,17.7817,0.1701,79.4032,7.9957,2.1944,851.74,3.3084,75.5059,80.3916,77.2987,-0.1662,101.6168,-0.3799,10.1000/JPhysChemC.2024.PER00043
MAT-00044,SrGeS3,Perovskite,18,Orthorhombic,4.1034,3.918,11.0447,177.567,5,98.2484,2.5676,1.3083,3.9646,1922.2878,2402.7789,PBE+U,650,6x6x6,-10.5609,5.7744,258.6062,3.7883,2.7261,2.2107,0.6354,3.5529,0.0321,5.0389,3.7724,2.8915,170.18,1.5277,68.7032,72.8365,50.2402,-0.2574,262.2142,-0.079,10.1000/ActaMater.2024.PER00044
MAT-00045,BaTiSe3,Perovskite,80,Tetragonal,4.0234,4.3373,4.6534,81.205,5,67.6137,2.4591,1.2287,5.257,1359.6108,2300.532,PBEsol,700,6x6x6,-9.8081,1.7503,153.5809,5.7545,2.2242,2.0911,-1.1561,6.0547,0.0603,66.7331,3.4888,3.474,290.02,4.5477,68.8186,71.1174,90.7253,-0.0462,158.3369,-0.0596,10.1000/JPhysChemC.2024.PER00045
MAT-00046,NaRuN3,Perovskite,94,Tetragonal,3.8154,3.7987,9.8359,142.557,5,60.2359,2.4551,1.3832,4.6527,2105.6579,2221.0655,PBEsol,800,6x6x6,-5.9844,3.4172,89.8918,4.2806,6.5705,0.1196,1.5316,21.0121,0.1491,33.9027,2.5302,2.2092,1006.48,9.7851,60.7686,64.1842,31.8943,-0.2997,87.0146,-0.0511,10.1000/JAlloyComp.2024.PER00046
MAT-00047,PrNiO3,Perovskite,216,Cubic,4.0878,4.0878,4.0878,68.308,5,52.0372,2.6573,1.335,4.4283,2351.7465,918.9734,HSE06,800,6x6x4,-10.0451,4.5772,197.1543,4.1423,1.9378,0.9683,-0.6721,11.7229,0.0605,15.1019,6.9521,1.6651,561.53,11.1424,14.9743,16.8254,67.6653,-0.123,194.2082,-0.0535,10.1000/ComputMaterSci.2024.PER00047
MAT-00048,KHfO3,Perovskite,79,Tetragonal,4.2578,3.6898,4.7881,75.223,5,48.0729,2.3054,1.161,5.5571,1934.8245,2439.6177,PBEsol,500,8x8x4,-11.5582,2.9076,279.3354,4.4718,14.2554,2.3673,0.8074,20.5424,0.0592,78.3976,4.2398,2.1329,983.98,29.1411,44.2659,46.3138,125.2555,-0.2629,277.5463,-0.3246,10.1000/JChemPhys.2024.PER00048
MAT-00049,NaFeS3,Perovskite,196,Cubic,3.762,3.762,3.762,53.242,5,100.6301,2.2661,1.2793,4.226,1192.4937,2066.2984,HSE06,520,8x8x8,-8.0851,2.4756,266.5559,4.8531,8.735,4.1705,0.3473,17.1513,0.1475,29.0537,3.093,1.8222,821.55,3.2919,24.9456,28.5889,90.0374,-0.2378,267.1826,-0.1053,10.1000/JPhysChemC.2024.PER00049
MAT-00050,EuFeSe3,Perovskite,48,Orthorhombic,3.8545,4.3441,12.333,206.508,5,81.8176,2.3696,1.1263,5.8366,1102.7149,2647.8008,PBE+U,520,4x4x4,-11.6146,4.5825,80.9238,5.188,0.8847,2.6054,1.4738,21.5993,0.1342,39.9318,0.541,2.924,1034.61,10.2561,89.0887,91.0167,121.714,-0.2216,77.5297,-0.0978,10.1000/JPhysChemC.2024.PER00050
MAT-00051,PrFeS3,Perovskite,32,Orthorhombic,3.998,4.0828,12.6818,207.005,5,107.4506,2.6123,1.1938,4.7828,2219.7391,1548.9279,PBE+U,600,8x8x8,-3.8904,3.3906,100.2212,5.1932,14.7411,0,0.9288,11.7745,0.1051,36.3214,1.388,2.9458,564,25.2126,35.5957,37.1843,177.3802,-0.293,100.4258,-0.2192,10.1000/JMaterSci.2024.PER00051
MAT-00052,CsNbN3,Perovskite,219,Cubic,4.1141,4.1141,4.1141,69.635,5,51.4374,2.3688,1.2884,4.8561,292.2185,1723.4544,PBEsol,520,4x4x4,-10.6038,1.6308,122.8653,4.5324,1.9037,2.3501,2.2893,11.3149,0.2061,78.0813,1.1055,2.5595,541.98,26.2066,67.0811,69.2833,97.5937,-0.2896,123.2113,-0.0125,10.1000/ActaMater.2024.PER00052
MAT-00053,CaVN3,Perovskite,62,Orthorhombic,4.2752,3.6364,10.2933,160.023,5,61.1235,2.6739,1.1226,5.8076,2126.1942,1035.0088,SCAN,700,6x6x6,-10.4424,3.7094,246.9415,6.2472,8.728,0.2692,0.0889,12.2354,0.0345,77.6564,2.8299,1.3113,586.08,8.9384,96.7936,97.3556,176.1145,-0.0947,250.2417,-0.0194,10.1000/JMaterSci.2024.PER00053
MAT-00054,CsZrSe3,Perovskite,36,Orthorhombic,4.2053,4.449,4.9678,92.944,5,95.7052,2.2094,1.3717,5.6968,2435.1488,2209.6766,PBE,700,8x8x8,-8.1366,2.6696,171.2808,4.6745,1.8014,2.1732,-1.1903,19.937,0.1226,74.8013,5.0917,0.895,954.98,5.1469,28.5238,33.4049,59.3668,-0.1504,175.6426,-0.0189,10.1000/SciData.2024.PER00054
MAT-00055,KMoTe3,Perovskite,126,Tetragonal,3.8418,3.6442,5.2131,72.985,5,44.433,1.7537,1.3843,5.7373,1435.6034,2051.9791,PBE+U,500,6x6x6,-5.8221,5.6848,240.1167,6.3465,5.5446,0.9084,-1.1377,7.1964,0.1207,75.927,3.3373,2.8811,344.71,16.4441,26.4528,28.1244,137.5745,-0.1049,239.4643,-0.3108,10.1000/ActaMater.2024.PER00055
MAT-00056,NdNiS3,Perovskite,52,Orthorhombic,4.1331,3.752,12.4174,192.561,5,53.1533,1.6395,1.3488,4.5586,1368.8437,1673.335,PBE+U,800,4x4x4,-7.2205,3.0306,177.2561,3.7005,9.0979,4.4767,-0.5881,16.665,0.0317,78.604,4.0175,3.2212,798.25,14.5291,15.4298,19.5586,136.6731,-0.0733,176.5378,-0.1512,10.1000/npjComputMater.2024.PER00056
MAT-00057,KMnTe3,Perovskite,54,Orthorhombic,4.2137,4.168,6.9986,122.914,5,86.3771,2.3734,1.5803,4.1127,1177.6881,2424.2459,HSE06,600,10x10x10,-7.4029,1.793,227.3146,5.7356,2.4017,2.2759,-0.7057,16.417,0.1919,72.1016,2.5444,1.099,786.37,28.7034,23.8981,24.9667,72.4393,-0.1465,231.1429,-0.1034,10.1000/ComputMaterSci.2024.PER00057
MAT-00058,LiCrS3,Perovskite,21,Orthorhombic,4.1249,3.7577,7.0907,109.907,5,73.4883,1.6917,1.2367,3.925,492.7353,1900.4794,SCAN,700,12x12x12,-11.3007,3.3867,221.0056,5.8466,11.3459,0,1.7603,12.3095,0.2087,23.0565,3.2061,1.2762,589.63,14.2908,45.2854,46.5659,155.3205,-0.209,218.7336,-0.349,10.1000/JMaterSci.2024.PER00058
MAT-00059,SrSnS3,Perovskite,35,Orthorhombic,3.9633,3.8727,7.1973,110.469,5,56.5198,2.4921,1.565,4.4938,1678.8964,2534.3446,PBEsol,500,4x4x4,-5.8648,5.8387,279.7659,6.2258,11.976,0,0.3437,3.8665,0.0236,40.79,4.2074,1.8999,185.21,17.2609,59.6946,63.894,39.5583,-0.2347,282.6959,-0.0693,10.1000/PhysRevB.2024.PER00059
MAT-00060,PbCrN3,Perovskite,224,Cubic,4.2969,4.2969,4.2969,79.335,5,101.1038,2.6569,1.2572,4.205,816.5957,2012.5988,SCAN,650,6x6x6,-6.43,2.2778,148.9282,4.0094,3.3302,4.2246,-1.2682,23.8338,0.1127,67.5591,5.61,1.3182,1141.64,5.6761,83.0789,84.476,184.3913,-0.2594,150.7053,-0.0824,10.1000/ActaMater.2024.PER00060
MAT-00061,RbNiS3,Perovskite,195,Cubic,3.8412,3.8412,3.8412,56.676,5,59.3345,2.7539,1.2323,4.2899,1194.7859,1306.0695,PBE,800,10x10x10,-8.2168,5.5108,234.3699,4.1392,0.5624,3.4911,0.7847,24.8638,0.0289,20.5999,4.3919,2.9868,1190.98,3.1267,45.5711,49.3318,86.8778,-0.2452,231.3249,-0.2401,10.1000/ComputMaterSci.2024.PER00061
